ID1,ID,Province,DISTRICT,LONGITUDE,LATITUDE,ELEVATION,UPDATED,NAMEOFFACI,OWNERSHIP,YEARBUILT,TYPEOFFACI,NUMOFDOCTO,NUMOFNURSE,NUMOFNUR_1,NUMOFPCN,NUMOFEHTS,NUMOFPHARM,NUMOFLABTE,NUMOFBEDS,NUMOFMATER,NUMOFGENER,CATHMENTPO,DISTNEARES,HASCOMMUNI,HASCOMMU_1,HASWATERPI,HASWATERUN,HASELECTRI,HASELECT_1,DISTNEAR_1,HASSANITAT,HASSANIT_1,HASSANIT_2,HASSECURIT,HASSECUR_1,HASROADTAR,HASROADGRA,HASINCINER,HASAUTOWAY,HASDENTAL,COMMENTS,TYPE_EDITE,OWNERSHIP_norm,TYPE_norm,ownership_category,is_private,is_nonoperational,included
21.0,1262.0,Matebeleland South,Beitbridge,29.86923,-21.7345,591.0,2007.0,Mazunga,5,0.0,Clinic(Not Open),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Not open still undre construction was a farm house,,5,Clinic(Not Open),Non-operational/Not yet open,False,True,False
22.0,1263.0,Matebeleland South,Beitbridge,30.5491,-21.90371,550.0,2007.0,Makombe,8,2006.0,Clinic (construction),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Almost complete- Roofing complete,,8,Clinic (construction),Non-operational/Not yet open,False,True,False
41.0,1320.0,Masvingo,Bikita,31.42301,-19.95815,0.0,2007.0,Masarasa,7,1963.0,Clinic,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,3.0,4110.0,42.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,7,Clinic,Private,True,False,False
53.0,328.0,Mashonaland Central,Bindura,31.3319797516,-17.30967,0.0,1998.0,Freda Rebecca,7,0.0,Mine Clinic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7,Mine Clinic,Private,True,False,False
60.0,1136.0,Mashonaland Central,Bindura,31.2850799561,-17.33128,0.0,1998.0,Trojan,7,0.0,Mine Clinic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7,Mine Clinic,Private,True,False,False
63.0,1406.0,Mashonaland Central,Bindura,31.33509,-17.30905,0.0,2007.0,Ponai Medical Centre,7,1998.0,Private Hospital,2.0,4.0,7.0,0.0,0.0,0.0,0.0,11.0,1.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,7,Private Hospital,Private,True,False,False
64.0,1407.0,Mashonaland Central,Bindura,31.32199,-17.30241,0.0,2007.0,PSMI Shashi,7,2004.0,Private Hospital,2.0,6.0,4.0,0.0,0.0,1.0,1.0,23.0,2.0,21.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,7,Private Hospital,Private,True,False,False
65.0,1408.0,Mashonaland Central,Bindura,31.3334,-17.30767,0.0,2007.0,Premier Medical Centre,7,2004.0,Clinic,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Annex of PSMI Hospital,Clinic,7,Clinic,Private,True,False,False
66.0,1409.0,Mashonaland Central,Bindura,31.33429,-17.31039,0.0,2007.0,ZNFPC,7,1992.0,Family Planning,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Visiting Doctor,,7,Family Planning,Private,True,False,False
67.0,1410.0,Mashonaland Central,Bindura,31.33306,-17.32484,0.0,2007.0,Bindura University,7,0.0,Clinic,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,Clinic,7,Clinic,Private,True,False,False
72.0,0.0,Mashonaland Central,Bindura,31.333,-17.3249,0.0,2013.0,Busce ,7,1996.0,Clinic,0.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,6000.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,7,Clinic,Private,True,False,False
84.0,1273.0,Matebeleland North,Binga,27.65647,-18.18549,975.0,2007.0,Sikomena,8,2006.0,Council Clinic(Construction),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Under construction-wall level,,8,Council Clinic(Construction),Non-operational/Not yet open,False,True,False
89.0,1288.0,Matebeleland North,Binga,27.71811,-18.17046,1022.0,2007.0,Chibila,8,2002.0,Council (Construction),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Under construction below roof level,,8,Council (Construction),Non-operational/Not yet open,False,True,False
93.0,440.0,Matebeleland North,Bubi,28.5494403839,-19.46111,0.0,1998.0,Isabella Mine,7,0.0,Mine Clinic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7,Mine Clinic,Private,True,False,False
