district,modeled_2020,census_2022_total,calib_factor,source
Beitbridge,101536.58443674445,94001.0,0.9257845388581197,census_2022_district
Beitbridge Urban,48099.38747501373,58574.0,1.2177701853360925,census_2022_district
Bikita,219819.37629950047,176835.0,0.8044559263923353,census_2022_district
Bindura,178853.37939167023,169841.0,0.9496102370426334,census_2022_district
Bindura Urban,54355.76565551758,51394.0,0.9455114720618983,census_2022_district
Binga,179835.91477672756,159982.0,0.8895998343747028,census_2022_district
Bubi,90519.87985223532,74084.0,0.8184279532952844,census_2022_district
Buhera,329825.39031004906,271920.0,0.8244362259205827,census_2022_district
Bulawayo,773393.4424152374,665952.0,0.8610778983595884,census_2022_district
Bulilima,109274.61934053898,85600.0,0.7833475011543133,census_2022_district
Centenary/ Muzarabani,167567.20677947998,134076.0,0.8001326904997902,census_2022_district
Chegutu,234709.7660794258,178911.0,0.7622648302561748,census_2022_district
Chegutu Urban,73321.45737457275,66260.0,0.9036918028170344,census_2022_district
Chikomba,170513.7530426979,123932.0,0.7268152731877675,census_2022_district
Chimanimani,185729.60452079773,153619.0,0.8271110057890527,census_2022_district
Chinhoyi,105503.31800079346,103657.0,0.9824999058249564,census_2022_district
Chipinge,401467.44665527344,375259.0,0.9347183766115469,census_2022_district
Chipinge Urban,38023.22039794922,34959.0,0.919411865542181,census_2022_district
Chiredzi,385744.8538198322,303503.0,0.7867972754388463,census_2022_district
Chiredzi Urban,28274.82290649414,40457.0,1.4308489264032795,census_2022_district
Chirumhanzu,108433.9740562439,95272.0,0.8786176180408469,census_2022_district
Chitungwiza,437421.7628326416,371246.0,0.8487140593917807,census_2022_district
Chivi,224313.5964384079,172979.0,0.7711480835157338,census_2022_district
Epworth,214459.28060913086,206368.0,0.9622712498794684,census_2022_district
Gokwe North,310357.27916669846,249723.0,0.8046307168000055,census_2022_district
Gokwe South,412136.5901145935,317554.0,0.7705066902982454,census_2022_district
Gokwe South Urban,29331.512329101562,33073.0,1.1275586348538287,census_2022_district
Goromonzi,335687.6328315735,386203.0,1.1504832535602283,census_2022_district
Guruve,168746.41048145294,153606.0,0.9102771404840221,census_2022_district
Gutu,273077.03414463997,208149.0,0.7622354646262574,census_2022_district
Gwanda,154193.28637766838,124548.0,0.8077394478443267,census_2022_district
Gwanda Urban,22108.395683288574,27143.0,1.2277236389665764,census_2022_district
